State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,Facility Category,Facility Subcategory,Latitude,Longitude
Karnataka,Belgaum,Hukkeri,Gavanal,351768,Bus stand,Gavanal,Transport/Admin,Bus Stand,16.24321974,74.51428512
Karnataka,Davanagere,Honnali,Savalanga,964880,Primary Health Centre,Primary Health Centre Savalanga,Medical ,Primary Health Centre,14.10391256,75.5226517
Karnataka,Raichur,Raichur,Rajalbunda,891049,Bus stand ,Rajalbunda ,Transport/Admin,Bus Stand,16.14534265,77.44351888
Karnataka,Mandya,Mandya,Thaggahalli,1042451,KGB,Thaggahalli,Transport/Admin,Bank,12.481918333333,76.937221666666
Karnataka,Ramnagar,Channapatna,Devaralli,263564,Devarahalli MCPS,Devarahalli,Agro ,Collection Centre or Pack House,12.65369096,77.15454336
Karnataka,Mandya,Krishnarajapet,YALADAHALLI,1108909,KSRTC bus stand,Yalabahalli,Transport/Admin,Bus Stand,12.78476526,76.5207675
Karnataka,Chitradurga,Chitradurga,MEDEHALLI,690960,Revenue,Main road,Agro ,GRaM (Notified),14.248960088007,76.392979240044
Karnataka,Koppal,Yelburga,Mudhol,720364,bus stand,bus stand,Transport/Admin,Bus Stand,15.642491666667,75.950216666667
Karnataka,Chickballapur,Chinthamani,Rayapalli,918393,milk collection centre,rayapalli,Agro ,Collection Centre or Pack House,13.414526623674,78.001211313531
Karnataka,Belgaum,Hukkeri,Salamawadi,941015,baveshwari halasidda krishi vavasaya sangha,salamawadi,Transport/Admin,Bank,16.06707291,74.40384455
Karnataka,Davanagere,Harihara,Kokkanur,572363,Grama Panchayat,Grama Panchayat Kokkanur,Transport/Admin,Panchayat Headquarter,14.38731318,75.68288859
Karnataka,Shimoga,Shimoga,Shettihalli,981359,kmf,shettihalli punarvasathi,Agro ,Collection Centre or Pack House,13.931834650001,75.692088602717
Karnataka,Chitradurga,Chitradurga,mallanakatte,663036,Higher Secondary School,in the Village,Education ,Higher Secondary School,14.24368108157,76.385210221633
Karnataka,Shimoga,Shikaripur,Tadasanahalli,1024639,Ware house,Tadasanahalli,Agro ,Warehouse,14.43450103,75.33295348
